ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 01/04/2026;COBERTURA;IMPORTE AFILIADO
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 39773.47;40%;$ 23864.08
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 55202.73;40%;$ 33121.64
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 35283.13;40%;$ 21169.88
21735;candesartán cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 64885.33;60%;$ 25954.13
21733;candesartán cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 43263.37;60%;$ 17305.35
29638;candesartán+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 58396.12;50%;$ 29198.06
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1258.68;60%;$ 503.47
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 35980.03;60%;$ 14392.01
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 21798.99;60%;$ 8719.6
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1198.74;60%;$ 479.5
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 13148.34;60%;$ 5259.34
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 21035.87;60%;$ 8414.35
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5734.16;60%;$ 2293.66
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575.14;50%;$ 287.57
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882.93;50%;$ 441.47
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 10276.02;50%;$ 5138.01
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 10276.02;50%;$ 5138.01
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 18910.86;60%;$ 7564.34
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 37246.24;60%;$ 14898.5
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 60376.84;60%;$ 24150.74
24710;enzimas digestivas;CREON 10000;cáps.x 100;Abbott EPD;$ 116085.06;50%;$ 58042.53
37388;enzimas digestivas;CREON 25000;cáps.x 100;Abbott EPD;$ 192551.54;50%;$ 96275.77
24709;enzimas digestivas;CREON 10000;cáps.x 50;Abbott EPD;$ 64187.64;50%;$ 32093.82
37387;enzimas digestivas;CREON 25000;cáps.x 50;Abbott EPD;$ 106852.72;50%;$ 53426.36
45275;fenofibrato;CONTROLIP;160 mg cáps.x 30;Abbott EPD;$ 43803.48;60%;$ 17521.39
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 45649.91;50%;$ 22824.96
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489.56;50%;$ 244.78
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 31540.17;50%;$ 15770.09
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 61034.29;50%;$ 30517.15
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 16430.75;60%;$ 6572.3
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 35679.73;60%;$ 14271.89
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 30839.37;60%;$ 12335.75
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 66652.83;60%;$ 26661.13
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 23079.05;80%;$ 4615.81
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 100;Abbott EPD;$ 66975.1;80%;$ 13395.02
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg cáps.x 50;Abbott EPD;$ 34974.22;80%;$ 6994.84
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 46736.78;80%;$ 9347.36
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 38833.78;80%;$ 7766.76
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 82428.48;80%;$ 16485.7
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 68484.21;80%;$ 13696.84
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8485.24;80%;$ 1697.05
19;valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;$ 22443.55;80%;$ 4488.71
21;valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 12446.96;80%;$ 2489.39
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 22296.59;60%;$ 8918.64
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 51454.53;60%;$ 20581.81
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 15085.77;60%;$ 6034.31
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 43194.03;50%;$ 21597.02
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 38242.12;50%;$ 19121.06
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 42298.54;50%;$ 21149.27
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 43759.84;50%;$ 21879.92
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 29778.3;60%;$ 11911.32
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 34723.78;60%;$ 13889.51
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 38079.15;50%;$ 19039.58
51569;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5084.83;50%;$ 2542.42
56822;carboximetilcelulosa sód.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 25791.16;50%;$ 12895.58
51599;carboximetilcelulosa sód.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5223.66;50%;$ 2611.83
37918;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 17573.27;50%;$ 8786.64
23975;carboximetilcelulosa sódica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 25107.41;50%;$ 12553.71
32902;carboximetilcelulosa sódica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 23964.75;50%;$ 11982.38
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 52010.02;60%;$ 20804.01
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 20563.71;50%;$ 10281.86
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 13662.32;50%;$ 6831.16
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2199.19;50%;$ 1099.6
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 33127.73;80%;$ 6625.55
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 40663.92;80%;$ 8132.78
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 50723.53;50%;$ 25361.77
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 20384.24;50%;$ 10192.12
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 26785.43;50%;$ 13392.72
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 20857.55;50%;$ 10428.78
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 17384.06;50%;$ 8692.03
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1118.2;50%;$ 559.1
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537.19;60%;$ 214.88
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1674.46;60%;$ 669.78
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2359.35;80%;$ 471.87
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 34843.93;80%;$ 6968.79
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468.44;60%;$ 187.38
11964;aceite de salmón;REGULIP;1 g cáps.x 60;Adium;$ 65834.57;40%;$ 39500.74
34244;aceite de salmón;REGULIP;1 g cáps.x 90;Adium;$ 95848.27;40%;$ 57508.96
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 29592.79;50%;$ 14796.4
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 43409.83;50%;$ 21704.92
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 52880.89;50%;$ 26440.45
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 26822.15;50%;$ 13411.08
22369;atorvastatín;LIPIFEN;10 mg comp.x 30;Adium;$ 38301.94;60%;$ 15320.78
22370;atorvastatín;LIPIFEN;20 mg comp.x 30;Adium;$ 63477.97;60%;$ 25391.19
50267;atorvastatín;LIPIFEN;40 mg comp.x 30;Adium;$ 74186.94;60%;$ 29674.78
